County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District Zip,District Enrollment as of Oct 2021,School Number,School Enrollment as of Oct 2021
'001,ANDERSON COUNTY,'07,'07,'07,'001906,NECHES ISD,INDEPENDENT,'4832250,P O BOX 310,NECHES,75779-0310,343,'001906102,239
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907001,1040
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907041,502
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907101,484
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907102,228
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907107,468
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,75801,3361,'001907110,639
'001,ANDERSON COUNTY,'07,'07,'07,'001908,WESTWOOD ISD,INDEPENDENT,'4843290,P O BOX 260,PALESTINE,75802-0260,1332,'001908002,400
'001,ANDERSON COUNTY,'07,'07,'07,'001908,WESTWOOD ISD,INDEPENDENT,'4843290,P O BOX 260,PALESTINE,75802-0260,1332,'001908041,206
'001,ANDERSON COUNTY,'07,'07,'07,'001908,WESTWOOD ISD,INDEPENDENT,'4843290,P O BOX 260,PALESTINE,75802-0260,1332,'001908101,384
'001,ANDERSON COUNTY,'07,'07,'07,'001908,WESTWOOD ISD,INDEPENDENT,'4843290,P O BOX 260,PALESTINE,75802-0260,1332,'001908102,342
'001,ANDERSON COUNTY,'07,'07,'07,'001909,SLOCUM ISD,INDEPENDENT,'4840500,5765 E STATE HWY 294,ELKHART,75839-9802,361,'001909001,104
'001,ANDERSON COUNTY,'07,'07,'07,'001909,SLOCUM ISD,INDEPENDENT,'4840500,5765 E STATE HWY 294,ELKHART,75839-9802,361,'001909101,257
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901001,1151
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901002,60
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901041,931
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901101,622
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901104,605
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,79714-5098,4147,'002901105,778
'003,ANGELINA COUNTY,'07,'05,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,CHARTER,'4800074,602 S RAGUET,LUFKIN,75904,995,'003801001,258
'003,ANGELINA COUNTY,'07,'05,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,CHARTER,'4800074,602 S RAGUET,LUFKIN,75904,995,'003801002,-1
'003,ANGELINA COUNTY,'07,'05,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,CHARTER,'4800074,602 S RAGUET,LUFKIN,75904,995,'003801042,-1
'003,ANGELINA COUNTY,'07,'05,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,CHARTER,'4800074,602 S RAGUET,LUFKIN,75904,995,'003801103,503
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,75904-6641,2802,'003902001,815
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,75904-6641,2802,'003902004,9
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,75904-6641,2802,'003902041,646
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,75904-6641,2802,'003902101,680
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,75904-6641,2802,'003902102,652
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903001,2163
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903003,0
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903004,32
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903044,1596
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903120,232
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903121,379
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903122,272
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903123,198
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903124,405
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903125,261
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903126,130
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903127,254
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903128,272
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903129,503
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903130,274
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903131,372
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903141,8
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,75902-1407,7360,'003903201,9
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,75949-0328,1615,'003904001,479
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,75949-0328,1615,'003904005,10
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,75949-0328,1615,'003904041,376
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,75949-0328,1615,'003904101,510
'003,ANGELINA COUNTY,'07,'07,'07,'003904,HUNTINGTON ISD,INDEPENDENT,'4824000,P O BOX 328,HUNTINGTON,75949-0328,1615,'003904102,240
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905001,521
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905004,12
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905041,384
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905101,325
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905102,153
'003,ANGELINA COUNTY,'07,'07,'07,'003905,DIBOLL ISD,INDEPENDENT,'4817040,P O BOX 550,DIBOLL,75941-0550,1749,'003905103,354
'003,ANGELINA COUNTY,'07,'07,'07,'003906,ZAVALLA ISD,INDEPENDENT,'4846740,431 E MAIN ST,ZAVALLA,75980-0045,301,'003906001,147
'003,ANGELINA COUNTY,'07,'07,'07,'003906,ZAVALLA ISD,INDEPENDENT,'4846740,431 E MAIN ST,ZAVALLA,75980-0045,301,'003906004,0
'003,ANGELINA COUNTY,'07,'07,'07,'003906,ZAVALLA ISD,INDEPENDENT,'4846740,431 E MAIN ST,ZAVALLA,75980-0045,301,'003906101,154
'003,ANGELINA COUNTY,'07,'07,'07,'003907,CENTRAL ISD,INDEPENDENT,'4813500,7622 US HWY 69 N,POLLOK,75969-9710,1455,'003907001,379
'003,ANGELINA COUNTY,'07,'07,'07,'003907,CENTRAL ISD,INDEPENDENT,'4813500,7622 US HWY 69 N,POLLOK,75969-9710,1455,'003907004,8
'003,ANGELINA COUNTY,'07,'07,'07,'003907,CENTRAL ISD,INDEPENDENT,'4813500,7622 US HWY 69 N,POLLOK,75969-9710,1455,'003907041,437
'003,ANGELINA COUNTY,'07,'07,'07,'003907,CENTRAL ISD,INDEPENDENT,'4813500,7622 US HWY 69 N,POLLOK,75969-9710,1455,'003907102,631
'004,ARANSAS COUNTY,'02,'02,'02,'004901,ARANSAS COUNTY ISD,INDEPENDENT,'4808550,P O BOX 907,ROCKPORT,78381-0907,3005,'004901001,930
'004,ARANSAS COUNTY,'02,'02,'02,'004901,ARANSAS COUNTY ISD,INDEPENDENT,'4808550,P O BOX 907,ROCKPORT,78381-0907,3005,'004901041,723
'004,ARANSAS COUNTY,'02,'02,'02,'004901,ARANSAS COUNTY ISD,INDEPENDENT,'4808550,P O BOX 907,ROCKPORT,78381-0907,3005,'004901101,639
'004,ARANSAS COUNTY,'02,'02,'02,'004901,ARANSAS COUNTY ISD,INDEPENDENT,'4808550,P O BOX 907,ROCKPORT,78381-0907,3005,'004901103,713
'005,ARCHER COUNTY,'09,'09,'09,'005901,ARCHER CITY ISD,INDEPENDENT,'4808610,P O BOX 926,ARCHER CITY,76351-0926,508,'005901001,229
'005,ARCHER COUNTY,'09,'09,'09,'005901,ARCHER CITY ISD,INDEPENDENT,'4808610,P O BOX 926,ARCHER CITY,76351-0926,508,'005901101,279
'005,ARCHER COUNTY,'09,'09,'09,'005902,HOLLIDAY ISD,INDEPENDENT,'4823400,P O BOX 689,HOLLIDAY,76366-0689,1128,'005902001,340
'005,ARCHER COUNTY,'09,'09,'09,'005902,HOLLIDAY ISD,INDEPENDENT,'4823400,P O BOX 689,HOLLIDAY,76366-0689,1128,'005902041,277
'005,ARCHER COUNTY,'09,'09,'09,'005902,HOLLIDAY ISD,INDEPENDENT,'4823400,P O BOX 689,HOLLIDAY,76366-0689,1128,'005902101,511
'005,ARCHER COUNTY,'09,'09,'09,'005904,WINDTHORST ISD,INDEPENDENT,'4846080,P O BOX 190,WINDTHORST,76389-0190,530,'005904001,135
'005,ARCHER COUNTY,'09,'09,'09,'005904,WINDTHORST ISD,INDEPENDENT,'4846080,P O BOX 190,WINDTHORST,76389-0190,530,'005904041,115
'005,ARCHER COUNTY,'09,'09,'09,'005904,WINDTHORST ISD,INDEPENDENT,'4846080,P O BOX 190,WINDTHORST,76389-0190,530,'005904101,280
'006,ARMSTRONG COUNTY,'16,'16,'16,'006902,CLAUDE ISD,INDEPENDENT,'4814250,P O BOX 209,CLAUDE,79019-0209,307,'006902001,307
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,78011-0489,397,'007901001,126
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,78011-0489,397,'007901002,0
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,78011-0489,397,'007901003,0
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,78011-0489,397,'007901041,101
'007,ATASCOSA COUNTY,'20,'20,'20,'007901,CHARLOTTE ISD,INDEPENDENT,'4813710,P O BOX 489,CHARLOTTE,78011-0489,397,'007901101,170
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902001,438
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902004,-1
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902005,-1
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902006,10
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902041,379
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902101,435
'007,ATASCOSA COUNTY,'20,'20,'20,'007902,JOURDANTON ISD,INDEPENDENT,'4824960,200 ZANDERSON AVE,JOURDANTON,78026-3045,1570,'007902102,302
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904001,487
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904002,6
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904003,0
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904041,395
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904101,505
'007,ATASCOSA COUNTY,'20,'20,'20,'007904,LYTLE ISD,INDEPENDENT,'4828650,P O BOX 745,LYTLE,78052-0745,1743,'007904103,350
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905001,955
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905004,6
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905005,11
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905041,757
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905103,969
'007,ATASCOSA COUNTY,'20,'20,'20,'007905,PLEASANTON ISD,INDEPENDENT,'4835190,831 STADIUM DR,PLEASANTON,78064-2499,3384,'007905105,686
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,78065-0138,1680,'007906001,490
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,78065-0138,1680,'007906003,0
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,78065-0138,1680,'007906041,386
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,78065-0138,1680,'007906101,568
'007,ATASCOSA COUNTY,'20,'20,'20,'007906,POTEET ISD,INDEPENDENT,'4835520,P O BOX 138,POTEET,78065-0138,1680,'007906102,236
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901001,682
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901002,0
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901041,544
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901101,546
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901102,262
'008,AUSTIN COUNTY,'06,'06,'06,'008901,BELLVILLE ISD,INDEPENDENT,'4809810,518 S MATHEWS,BELLVILLE,77418-2711,2198,'008901105,164
'008,AUSTIN COUNTY,'06,'06,'06,'008902,SEALY ISD,INDEPENDENT,'4839630,939 TIGER LN,SEALY,77474-3211,2827,'008902001,839
'008,AUSTIN COUNTY,'06,'06,'06,'008902,SEALY ISD,INDEPENDENT,'4839630,939 TIGER LN,SEALY,77474-3211,2827,'008902041,684
'008,AUSTIN COUNTY,'06,'06,'06,'008902,SEALY ISD,INDEPENDENT,'4839630,939 TIGER LN,SEALY,77474-3211,2827,'008902102,636
'008,AUSTIN COUNTY,'06,'06,'06,'008902,SEALY ISD,INDEPENDENT,'4839630,939 TIGER LN,SEALY,77474-3211,2827,'008902104,668
'008,AUSTIN COUNTY,'06,'06,'06,'008903,BRAZOS ISD,INDEPENDENT,'4844470,P O BOX 819,WALLIS,77485-0819,768,'008903001,268
'008,AUSTIN COUNTY,'06,'06,'06,'008903,BRAZOS ISD,INDEPENDENT,'4844470,P O BOX 819,WALLIS,77485-0819,768,'008903041,197
'008,AUSTIN COUNTY,'06,'06,'06,'008903,BRAZOS ISD,INDEPENDENT,'4844470,P O BOX 819,WALLIS,77485-0819,768,'008903102,303
'009,BAILEY COUNTY,'17,'17,'17,'009901,MULESHOE ISD,INDEPENDENT,'4831890,514 W AVE G,MULESHOE,79347-3499,1348,'009901001,370
'009,BAILEY COUNTY,'17,'17,'17,'009901,MULESHOE ISD,INDEPENDENT,'4831890,514 W AVE G,MULESHOE,79347-3499,1348,'009901041,301
'009,BAILEY COUNTY,'17,'17,'17,'009901,MULESHOE ISD,INDEPENDENT,'4831890,514 W AVE G,MULESHOE,79347-3499,1348,'009901101,291
'009,BAILEY COUNTY,'17,'17,'17,'009901,MULESHOE ISD,INDEPENDENT,'4831890,514 W AVE G,MULESHOE,79347-3499,1348,'009901103,386
'010,BANDERA COUNTY,'20,'20,'20,'010901,MEDINA ISD,INDEPENDENT,'4830030,P O BOX 1470,MEDINA,78055-1470,267,'010901001,267
'010,BANDERA COUNTY,'20,'20,'20,'010902,BANDERA ISD,INDEPENDENT,'4809360,P O BOX 727,BANDERA,78003-0727,2304,'010902001,681
'010,BANDERA COUNTY,'20,'20,'20,'010902,BANDERA ISD,INDEPENDENT,'4809360,P O BOX 727,BANDERA,78003-0727,2304,'010902041,556
'010,BANDERA COUNTY,'20,'20,'20,'010902,BANDERA ISD,INDEPENDENT,'4809360,P O BOX 727,BANDERA,78003-0727,2304,'010902101,630
'010,BANDERA COUNTY,'20,'20,'20,'010902,BANDERA ISD,INDEPENDENT,'4809360,P O BOX 727,BANDERA,78003-0727,2304,'010902102,437
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901001,1563
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901002,1889
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901005,241
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901022,129
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901041,864
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901101,785
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901102,747
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901103,953
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901104,781
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901106,1039
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901107,668
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901108,943
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901109,755
'011,BASTROP COUNTY,'13,'13,'13,'011901,BASTROP ISD,INDEPENDENT,'4809570,906 FARM ST,BASTROP,78602-3310,11994,'011901110,637
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902001,1543
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902003,-1
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902004,-1
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902041,774
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902042,690
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902101,670
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902102,750
'011,BASTROP COUNTY,'13,'13,'13,'011902,ELGIN ISD,INDEPENDENT,'4818360,P O BOX 351,ELGIN,78621-0351,4996,'011902103,528
'011,BASTROP COUNTY,'13,'13,'13,'011904,SMITHVILLE ISD,INDEPENDENT,'4840550,P O BOX 479,SMITHVILLE,78957-0479,1788,'011904002,570
'011,BASTROP COUNTY,'13,'13,'13,'011904,SMITHVILLE ISD,INDEPENDENT,'4840550,P O BOX 479,SMITHVILLE,78957-0479,1788,'011904004,0
